"Occurrences","Words","Cluster","Color","Cluster_Label","Cluster_Frequency","btw_centrality","clos_centrality","pagerank_centrality"
28,"memory architecture",2,"#377EB880","big data",7357,556.768771364249,0.000531632110579479,0.00100696413135542
27,"query languages",2,"#377EB880","big data",7357,288.599641555974,0.000525210084033613,0.000961088452939954
26,"data systems",2,"#377EB880","big data",7357,190.057298442878,0.000520020800832033,0.00064517124169219
26,"ontology's",2,"#377EB880","big data",7357,453.318896994884,0.000528541226215645,0.000868482450445289
26,"open data",2,"#377EB880","big data",7357,389.867558930626,0.000527148128624143,0.000902434727978489
26,"proposed architectures",2,"#377EB880","big data",7357,378.300594153998,0.000525486074619023,0.000757972862840002
26,"sales",2,"#377EB880","big data",7357,208.531703413654,0.000520291363163372,0.000791915455226869
25,"data lakehouse",2,"#377EB880","big data",7357,361.1118397768,0.000525486074619023,0.000866824602576494
25,"metadata management",2,"#377EB880","big data",7357,129.553087824443,0.000511247443762781,0.000765004370986026
24,"batch data processing",2,"#377EB880","big data",7357,366.032250875095,0.000526315789473684,0.000837214229729886
24,"cloud analytics",2,"#377EB880","big data",7357,228.02741163096,0.000522739153162572,0.000826485213461327
24,"cloud-based",2,"#377EB880","big data",7357,377.927495335579,0.000527704485488127,0.000784780743361006
24,"computer software",2,"#377EB880","big data",7357,279.219521665791,0.000520020800832033,0.000664206788734671
24,"graphic methods",2,"#377EB880","big data",7357,443.186111676674,0.000525762355415352,0.000824306062202663
24,"real-world",2,"#377EB880","big data",7357,954.398585820576,0.000537634408602151,0.000887926209946652
23,"semantic web",2,"#377EB880","big data",7357,271.837684509031,0.000520562207183758,0.000796288336416486
22,"data science",2,"#377EB880","big data",7357,315.910195378036,0.000523560209424084,0.000684848628897114
23,"reference architecture",2,"#377EB880","big data",7357,299.881814154503,0.000523012552301255,0.000750261220707152
23,"security of data",2,"#377EB880","big data",7357,424.280479432506,0.000528262017960909,0.000722615310677075
22,"database systems",2,"#377EB880","big data",7357,192.094341390765,0.000520020800832033,0.000697234221523228
21,"smart grid",2,"#377EB880","big data",7357,259.835468088781,0.0005249343832021,0.000834138343781691
20,"spatial data",2,"#377EB880","big data",7357,290.711163683157,0.000524109014675052,0.000716269769070093
21,"data engineering",2,"#377EB880","big data",7357,292.057048326375,0.000525210084033613,0.000802814044470898
20,"cloud platforms",2,"#377EB880","big data",7357,297.358475091649,0.000525486074619023,0.000587362078055736
20,"clustering algorithms",2,"#377EB880","big data",7357,474.37443305596,0.000528541226215645,0.000669560804694575
20,"data structures",2,"#377EB880","big data",7357,345.981300524906,0.0005249343832021,0.000638119598495973
20,"distributed database systems",2,"#377EB880","big data",7357,332.461442768441,0.000523560209424084,0.000692171297060601
20,"social media",2,"#377EB880","big data",7357,311.893976142523,0.000524109014675052,0.000760809639084387
19,"design and implementations",2,"#377EB880","big data",7357,304.514271817602,0.000524383848977452,0.000640138475529205
19,"manufacture",2,"#377EB880","big data",7357,233.554104524571,0.000519210799584631,0.000706344117087948
19,"scalability",2,"#377EB880","big data",7357,455.571113790814,0.000531914893617021,0.000761141907290595
19,"structured data",2,"#377EB880","big data",7357,243.819739663393,0.000521104742053153,0.000651299463373994
18,"engines",2,"#377EB880","big data",7357,437.099090533236,0.000530785562632696,0.000714766851269186
